,eng,Subject
52559,"If \( a^{2}, b^{2}, c^{2} \) are in A.P., then the following are also in A.P. \( \frac{\boldsymbol{a}}{\boldsymbol{b}+\boldsymbol{c}}, \frac{\boldsymbol{b}}{\boldsymbol{c}+\boldsymbol{a}}, \frac{\boldsymbol{c}}{\boldsymbol{a}+\boldsymbol{b}} \)
A. True
B. False",Maths
93685,"Isotonic solutions have:
A. same boiling point
B. same vapour pressure
c. same melting point
D. same osmotic pressure",Chemistry
91096,"The type of joint between the human skull bones is called:
A. cartilaginous joint
B. hinge joint
c. fibrous joint
D. synovial joint",Biology
64200,"What are the types of hybridization in
\( \boldsymbol{C}_{3} \boldsymbol{H}_{4} ? \)",Chemistry
73604,"Most of the natural hydrocarbons are:
A . cis
B. trans
c. both \( A \) and \( B \)
D. none of above",Chemistry
78082,"If \( A \) and \( B \) are square matrices of the same order, explain, why in general? \( (A+B)^{2} \neq A^{2}+2 A B+B^{2} \)",Maths
72567,"Two wires of the same material and
length have radii in the ratio of 2: 3
Compare their resistance.",Physics
48200,Evaluate: \( \int_{0}^{\pi / 2} \cos ^{2} x d x \),Maths
114159,"About alkali metal - liquid \( \boldsymbol{N} \boldsymbol{H}_{3} \)
solution which of the following statement is not true?
A. Blue colour due to ammoniated electrons
B. Blue colour changes to bronze on dilution due to formation of metal clusters
c. with increse in concentration of alkali metals paramagnetic nature decreases due to electron electron combination
D. on heating blue colour becomes colourless due to formation of metal amide and \( H_{2} \) gas",Chemistry
110812,"Which of the following is not formed from procambium?
A. Xylem
B. Phloem
c. Intra-fascicular cambium
D. Inter-fascicular cambium",Biology
101802,"A person takes 15 breathes per
minute.The volume of air inhaled in
each breath is \( 448 \mathrm{ml} \) and contains \( 21 \% \)
oxygen by volume.The exhaled air contains \( 16 \% \) of oxygen by volume.If all the oxygen is used in the combustion of sucrose, how much of the Sucrose is
burnt in the body per day\& how much
heat is evolved. \( \triangle \boldsymbol{H}_{c o m} \) of sucrose is \( = \)
\( -6000 k j m o l^{-1} \).take temperature to be \( 300 \mathrm{K} \) throughout.[Assuming
\( \left.\boldsymbol{V}_{\text {inhaledair}}=\boldsymbol{V}_{\text {exhaledair}}, \boldsymbol{P}_{\text {atm}}=\mathbf{1} \boldsymbol{a} \boldsymbol{t m}\right] \)
A. 7.822 Mj/day evolved,460 gm
B. 7.822 Mj/day evolved,560 gm
c. 9.822 Mj/day evolved,460 gm
D. 9.822 Mj/day evolved,560 gm",Chemistry
96873,"When the object is at focus of a concave mirror, the image is formed at
A. the focus
B. the centre of curvature
c. within focus
D. infinity",Physics
26402,"The alkali metals are in which group of the periodic table?
A. Group
B. Group 2
c. Group 3
D. Group 4",Chemistry
76194,What is 'depletion region' in a semi conductor diode?,Physics
2286,"\( \mathbf{3 5}, \mathbf{4 1}, \mathbf{4 7}, \mathbf{5 3}, \mathbf{5 9}, \dots \dots \)
For this sequence, write down
(a) the next term
(b) the \( n \) th term",Maths
44065,"\( \ln 2015 \) and \( 2017, \) there was very heavy rain in our state. In 2016 , there was no adequate rain. These extreme conditions are due to
A. Uneven distribution of human population
B. Global warming
c. Depletion of ground water
D. Ozone depletion",Biology
51651,"The numbers 1,2,3 and 4 are written separately on four slips of paper. The slips are then put in a box and mixed thoroughly. A person draws two slips from the box, one after the other without replacement. Describe the following events: \( A= \) The number on the first slip
is larger than the one on the second slip. \( B= \) The number on the second slip is greater than \( 2 \quad C= \) The sum of the numbers on the two slip is 6 or 7 \( D= \) The number on the second slips is twice that on the first slip. Which pair
(s) of events is (are) mutually exclusive",Maths
33981,"Balance the following equation taking place in basic solution.
\( \boldsymbol{F} \boldsymbol{e}(\boldsymbol{O} \boldsymbol{H})_{2}(\boldsymbol{s})+\boldsymbol{O}_{2}(\boldsymbol{g}) \longrightarrow \boldsymbol{F} \boldsymbol{e}(\boldsymbol{O} \boldsymbol{H})_{3}(\boldsymbol{s}) \)
A \( \cdot 4 \mathrm{Fe}(O H)_{2}(s)+2 H_{2} O(l)+O_{2}(g) \longrightarrow 4 \mathrm{Fe}(O H)_{3}(s) \)
B. \( 4 \mathrm{Fe}(\mathrm{OH})_{2}(s)+\mathrm{H}_{2} \mathrm{O}_{2}(l)+O_{2}(g) \longrightarrow 4 \mathrm{Fe}(\mathrm{OH})_{3}(s) \)
\( \mathbf{c} \cdot 4 F e(O H)_{3}(s)+2 H_{2} O(l)+O_{2}(g) \longrightarrow 4 F e(O H)_{3}(s) \)
D. None of these",Chemistry
19238,"The sum to \( n \) terms of the services \( \frac{3}{1^{2}}+ \) \( \frac{5}{1^{2}+2^{2}}+\frac{7}{1^{2}+2^{2}+3^{2}}+\dots \dots \) is
A \( \cdot \frac{3 n}{n+1} \)
В. \( \frac{6 n}{n+1} \)
c. \( \frac{g n}{n+1} \)
D. \( \frac{12 n}{n+1} \)",Maths
20104,"Which one of the following is employed as antihistamine?
A. Omeprazole
B. Chloramphenicol
c. Diphenhydramine
D. Norethindrone",Chemistry
24038,"\( f(x)=\frac{x}{x^{2}+5 x+4} \) is maximum at
\( \boldsymbol{x}= \)
\( A \cdot 2 \)
B. -
\( c \cdot 6 \)
D. - 6",Maths
30485,"Scattering of light occurs when a beam of light is passed through?
A. Bloodd
B. water
c. copper sulphate solution
D. Brine",Chemistry
42811,"Two resistors are connected in series
\( \operatorname{across} \) a \( 5 ~ V \) rms source of alternating potential. The potential difference \( \operatorname{across} 6 \Omega \) resistor is \( 3 V . \) If \( R \) is
replaced by a pure inductor \( L \) of such
magnitude that current remains same, then the same potential difference \( \operatorname{across} L \) is:
\( \mathbf{A} \cdot 1 V \)
B. \( 2 V \)
c. \( 3 V \)
D. \( 4 V \)",Physics
75101,"Choose the correct statements:
This question has multiple correct options
A. It is easier to fabricate 10000 AND gates using circuit components than on an integrated chip.
B. It is easier to fabricate 10000 AND gates on an integrated chip than fabricating them using circuit components.
C. It is easier to fabricate a single AND gate using circuit components as compared to on an IC.
D. It is easier to fabricate a single AND gate on an IC as compared to using circuit components.",Physics
105475,"Solve the following. It is known that 5 microgram of an enzyme convert 10 million molecules of
substrate to end products per second. To calculate the enzyme's turnover what else must be known?
A. Molecular weight of the enzyme.
B. Molecular weight of the enzyme and substrate both.
c. The molecular weight of substrate only.
D. Molecular weight of end product only",Biology
27761,"In case of a planet revolving around the sun, the angle between the gravitational force and the radial vector is
A. zero
B. 90
c. 180
D. 45",Physics
45249,"Assertion
When small amount of an acid or base
is added to pure water its pH undergoes a change.
Reason
Addition of an acid or a base increases
the degree of ionisation of water.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",Chemistry
88980,"24 cells, each having the same e.m.f. and 2 ohm internal resistance, are used to draw maximum current through an
external resistance of 3 ohm. The cells
should be connected:
\( \mathbf{A} \cdot \) In series
B. in parallel
c. \( \ln 4 \) rows, each row having 6 cells
D. In 6 rows, each row having 4 cells",Physics
103156,"Area of \( \Delta A B C \) is
A. 45 squares units
B. 55 squares units
c. 65 squares units
D. none of these",Maths
52038,"What is called as 'black gold'?
A. Hydrocarbons
в. coal
c. Petroleum
D. Ether",Chemistry
31876,"Draw a circle with centre \( C \) and radius
\( 3 \mathrm{cm} . \) Take a point \( \boldsymbol{P} \) outside the circle
such that \( C P=6 \mathrm{cm} . \) Construct
tangents \( \boldsymbol{P} \boldsymbol{A} \) and \( \boldsymbol{P} \boldsymbol{B} \) from this point to
the circle, where \( A \) and \( B \) are the
intersection points of the tangents. Then \( \boldsymbol{m} \angle \boldsymbol{A} \boldsymbol{C B}=? \)
\( \mathbf{A} \cdot 60 \)
B. \( 120^{\circ} \)
\( c \cdot 30^{\circ} \)
D. \( 90^{\circ} \)",Maths
6190,"The pteridophyte, popularly known as 'quillwort' is
A. Lycopodium
B. Selaginella
c. Isoetes
D. Marselia",Biology
39539,"The angle between \( \overrightarrow{\boldsymbol{R}}=\mathbf{2} \hat{\mathbf{i}}+\mathbf{3} \hat{\boldsymbol{j}}-\mathbf{4} \hat{\boldsymbol{k}} \)
and y-axis is
\( ^{\mathrm{A}} \cdot \cos ^{-1}\left(\frac{2}{\sqrt{29}}\right) \)
в. \( \cos ^{-1}\left(\frac{3}{\sqrt{29}}\right) \)
\( ^{\mathrm{c}} \cdot \sin ^{-1}\left(\frac{3}{\sqrt{29}}\right) \)
D \( \cdot \tan ^{-1}\left(\frac{3}{\sqrt{29}}\right) \)",Physics
121339,"The slope and intercept respectively of the graph drawn between \( \log \frac{x}{m} \) and \( \log \) \( P \) in respect of the logarithmic form of Freundlich adsorption isotherm are :
A \( \cdot \)n.log\( \frac{1}{K} \)
в. \( \frac{1}{n}, \log K \)
c. \( \log n, \frac{1}{K} \)
D. \( n, \log K \)",Chemistry
16388,"Pressure exerted by a sharp needle on a
surface is
A. more than the pressure exerted by a blunt needle
B. less than the pressure exerted by a blunt needle
C . equal to the pressure exerted by a blunt needle.
D. None of these",Physics
6028,"Universe comprises of :
A. Only System
B. Only Surroundings
C. Both System and Surroundings
D. None of the above",Physics
52618,"Who gave the 'Theory of pangenesis'?
A. Lamarck
B. wallace
c. Haeckel
D. Darwin",Biology
91025,"How is a nail able to pierce the surface
of wood?",Physics
36205,"If either vector \( \vec{a}=\overrightarrow{0} \) or \( \vec{b}=\overrightarrow{0}, \) then \( \vec{a} \) \( \vec{b}=0 . \) But the converse need not be true
Justify your answer with an example.",Maths
118965,"In vascular plants, light promotes
A. Growth
B. Development
C. Differentiation
D. All of the above",Biology
77021,"Cohesion-tension theory is related to
A. Respiration
B. Ascent of sap
c. Transpiration
D. Photosynthesis",Biology
29161,"Atmosphere maintain the temperature on the surface of earth because
A. It contains water vapour in it
B. It holds air, which is a bad conductor of heat
c. It reflects the heat rays.
D. It absorbs the heat rays",Physics
80600,"The back and forth motion of an object is called
A . vibration
B. rotation
c. translation
D. linear motion",Physics
7603,"Write one merit and one de-merit of
alternating current in comparison of direct current. Obtain expression for
following in a pure inductive alternating current circuit
i) Instantaneous value of current
ii) Reactance of circuit
iii) Peak value of current Draw curve for
power in pure inductive circuit.",Physics
90988,"From the electronic configurations, one
can predict that the geometric configuration for which of the following
molecules is not correct?
\( \mathbf{A} \cdot P F_{3}, \) trigonal planar
B. \( C F_{4} \), tetrahedral
\( \mathbf{C} \cdot C H C l_{3}, \) irregular tetrahedron
D. \( O F_{2} \), bent (v-shaped)
E . \( H F \), linear",Chemistry
82331,"Charges \( Q_{1} \) and \( Q_{2} \) are placed inside
and outside respectively of an
uncharged conducting shell. Their seperation is \( r \) This question has multiple correct options
A. The force on \( Q_{1} \) is zero
B. The force on \( Q_{1} \) is \( k \frac{Q_{1} Q_{2}}{r^{2}} \)
c. The force on \( Q_{2} \) is \( k \frac{Q_{1} Q_{2}}{r^{2}} \)
D. The force on \( Q_{2} \) is zero.",Physics
76563,Define electric potential due to a point charge and arrive at the expression for the electric potential at a point due to a point charge in its vicinity.,Physics
92625,"Two identical loops \( P \) and \( Q \) each of
radius \( 5 \mathrm{cm} \) are lying in perpendicular
planes such that they have a common centre as shown in the figure. Find the magnitude and direction of the net magnetic field at the common centre of
the two coils, if they carry currents
equal to \( 3 A \) and \( 4 A \) respectively.",Physics
77556,"Fill in the blanks:
(i) The \( x \) -axis and \( y \) -axis taken together
determine a plane known as
(ii) The coordinates of points in the \( \boldsymbol{X} \boldsymbol{Y} \)
-plane are of the form
(iii) Coordinate planes divide the space
into octants",Maths
42011,"The distance between two points
differing in phase by \( 60^{\circ} \) on a wave
having a wave velocity \( 360 m / s \) and frequency \( 500 H z \) is
A . \( 0.72 \mathrm{m} \)
B. \( 0.18 m \)
c. \( 0.12 m \)
D. 0.36 m",Physics
99950,"\( \boldsymbol{A}(\boldsymbol{g}) \rightarrow \boldsymbol{B}(\boldsymbol{g})+\boldsymbol{C}(\boldsymbol{g}) \)
\( \frac{-\boldsymbol{d}[\boldsymbol{A}]}{\boldsymbol{d} t}=\boldsymbol{k}[\boldsymbol{A}] \)
At the start, the pressure is \( 100 \mathrm{mm} \) and after 10 min, the pressure is 120
mm. Hence, rate constant \( \left(\min ^{-1}\right) \) is:
A \( \cdot \frac{2.303}{10} \log \left(\frac{120}{100}\right) \)
В. \( \frac{2.303}{10} \log \left(\frac{100}{20}\right) \)
c. \( \frac{2.303}{10} \log \left(\frac{100}{80}\right) \)
D. \( \frac{2.303}{10} \log \left(\frac{100}{120}\right) \)",Chemistry
87039,"\( \sim(\boldsymbol{p} \wedge \boldsymbol{q}) \equiv \)
\( \mathbf{A} \cdot \sim p \vee \sim q \)
в. \( p \vee \sim q \)
\( \mathrm{c} \cdot \sim p \vee q \)
D. None",Maths
98045,"Factorise each of the following:
(i) \( 8 a^{3}+b^{3}+12 a^{b}+6 a b^{2} \)
(ii) \( 8 a^{3}-b^{3}-12 a^{2} b+6 a b^{2} \)
(iii) \( 27-125 a^{3}-135 a+225 a^{2} \)
(iv) \( 64 a^{3}-27 b^{3}-144 a^{2} b+108 a b^{2} \)
\( (v) 27 p^{3}-\frac{1}{216}-\frac{9}{2} p^{2}+\frac{1}{4} p \)",Maths
107991,"The magnetic moment of current \( (\boldsymbol{I}) \)
carrying circular coil of radius \( (r) \) and
number of turns \( (n) \) varies as
A \( \cdot 1 / r^{2} \)
в. \( 1 / r \)
\( c \)
D \( \cdot r^{2} \)",Physics
96958,"To measure the-roughness of the surface of a material, which of the following microscope is preferred for better result output?
A. Compound microscope
B. Electron microscope
c. Atomic force microscope
D. None of the above",Physics
42985,Solve: \( \int_{0}^{\infty}\left(a^{-x}-b^{-x}\right) d x \),Maths
828,"Which one of the following does not
represent a travelling wave?
\( \mathbf{A} \cdot y=f(x-v t) \)
B \( \cdot y=y_{\max } \sin k(x+v t) \)
\( \mathbf{c} \cdot y=y_{\max } \log (x-v t) \)
D. \( y=f\left(x^{2}-v t^{2}\right) \)",Physics
89572,"Find the square root of \( 4 a b-2\left(a^{2}-\right. \)
\( \left.b^{2}\right) i \)",Maths
30931,"Find the roots of the equation \( a(b- \)
\( c) x^{2}+b(c-a) x+c(a-b)=0 \)",Maths
65123,"Which of the following compounds has the smallest bond angle?
\( A \cdot S O_{2} \)
в. \( H_{2} \) о
\( \mathrm{c} \cdot H_{2} \)
D. \( N H_{3} \)",Chemistry
86711,"In a p-njunction having depletion layer
of thickness \( 10^{-6} m \), the potential
across it is \( 0.1 \mathrm{V} \). The electric field is
A \( \cdot 10^{7} V / m \)
В \( \cdot 10^{-6} V / m \)
c. \( 10^{5} V / m \)
D. \( 10^{-5} V / m \)",Physics
108188,"Solve \( \int \frac{x^{5}}{x^{2}+1} d x \)
A. \( \frac{x^{4}}{4}+\frac{x^{2}}{2}+\tan ^{-1} x+c \)
B. \( \frac{x^{4}}{4}-\frac{x^{2}}{2}+\frac{1}{2} \log \left(x^{2}+1\right)+c \)
C \( \frac{x^{4}}{4}-\frac{x^{3}}{3}+\tan ^{-1} x+c \)
D. \( \frac{x^{4}}{4}+\frac{x^{2}}{2}+\frac{1}{2} \log \left(x^{2}+1\right)+c \)",Maths
15208,"When we stand on loose sand, our feet
go deep into the sand. But when we lie down on the sand our body does not go that deep into the sand. But when we lie down on the sand our body does not go
that deep in the sand. Why?",Physics
122067,"Name the parts \( a, b \) and \( c \)",Biology
53802,"When the face of a coil towards an
observer seems to carry current in direction, north polarity is induced on
that face.
A. electromagnet
B. right angles
c. permanent
D. anticlockwise",Physics
56562,"If \( A \) is a skew-symmetric matrix, then
trace of \( \boldsymbol{A} \) is",Maths
97629,"Distinguish between regular and
diffused reflection. Does diffused
refection mean the failure of the laws of
reflection?",Physics
96055,"Which of the following structure polynuclear aromatic
hydrocarbons possess?
A. Linear
B. Angular
c. Both \( A \) and \( B \)
D. None of the above",Chemistry
73463,"Two weak acids \( H A \) and \( H B \) have
same \( p H \) when their concentration
ratio is \( 3: 1 . \) The ratio of the
dissociation constants of \( H B \) and \( H A \)
is",Chemistry
17996,"were the first group of animals to evolve lung tissue requisite to support their respiratory needs without the use supplementary organs.
A. Trematoda
B. Amphibians
c. Reptiles
D. Aves",Biology
24879,"Which of the following will give
Hofmann alkene?

This question has multiple correct options
\( \mathbf{A} \)
B.
\( c \)
D.",Chemistry
64931,"Degree of unsaturation in the
empirical formula \( C_{4} H_{8} O \) is:",Chemistry
77543,"\( \tan ^{-1}\left[\frac{a \cos x-b \sin x}{b \cos x+a \sin x}\right]=\tan ^{-1}\left(\frac{a}{b}\right) \)
\( \mathcal{L} \)
A. True
B. False",Maths
22287,"A sample of compound is considered to
be optically pure:
A. if only one enantiomer is present
B. if only two enantiomer is present
C. if the compound is having recimic mixture
D. none of the above",Chemistry
78353,"If \( \sin \theta=\frac{8}{17} \) and \( 90^{\circ}<\theta<180^{\circ}, \) then
the value of the expression \( \frac{2 \sin \theta+\cos \theta}{3 \cos \theta+5 \sin \theta} \) is :
\( A \cdot \frac{1}{5} \)
B. \( -\frac{1}{5} \)
c. \( \frac{31}{85} \)
D. \( -\frac{31}{85} \)",Maths
108866,"Two balls are drawn at random with
replacement from a box containing 10 black and 8 red balls. Find the
probability that both balls are red",Maths
96108,"f the percentage production of \( P \) type cars in 2001 was the same as that in
\( 2000, \) then the number of \( P \) type cars
produced in 2001 would have been?
A \( \cdot 1,40,000 \)
В. 1,32,000
\( c \cdot 1,17,000 \)
D . 1,05,000",Maths
48454,"Animal of which phylum have hooks and
suckers and are endoparasite on other animals?
A. Platyhelminthes
B. Annelida
c. Ascheminthes
D. Arthropoda",Biology
47031,"A particle of mass \( 4 m \) which is at rest
explodes into three fragments. Two of the fragments each of mass \( m \) are
found to move with a speed \( v \) each in
mutually perpendicular directions. The total energy released in the process of explosion is",Physics
117308,"n \( \triangle A B C \) what is sum of the angles a \( + \)
\( b+c+d+e+f+g+h+i ? \)
\( 4 \cdot 360 \)
3.540
\( c \cdot 600 \)
cannot be determine",Maths
18341,"Is it possible to define the matrix AB and BA when :
A has 4 rows and \( \mathrm{B} \) has 4 columns",Maths
34609,"Maximum prescribed limit of Al in drinking water is:
\( A \cdot 5 \) ppm
B. 2 ppm
c. \( 0.2 \mathrm{ppm} \)
D. 0.5 ppm",Chemistry
54624,"Which of the following statement is
true?
A . Cold and very diluted \( H N O_{3} \) forms \( N H_{4} N O_{3} \) with \( Z n \) or \( S n \)
B. Concentrated \( H N O_{3} \) forms \( H_{2} S n O_{3} \) with \( S n \)
C . Cold and concentrated \( H N O_{3} \) forms \( N O_{2} \) with \( C u \)
D. All the above statements are correct",Chemistry
120321,Write any three distinctions between \( p \) type and n-type semiconductor,Physics
32787,"What is the momentum versus velocity graph is like, when mass is fixed?
A. Straight line
B. Exponential curve
c. Parabola
D. circle",Physics
26944,"The change in enthalpy, \( \Delta \boldsymbol{H} \) accompanying a process depends on the path followed
A. True
B. False",Chemistry
115519,"Draw the structure of the stable
positive ion formed when an acid dissolves in water.",Chemistry
92677,"Which action of prism is used in a
slide projector
A. it deviate a ray of light through \( 180^{\circ} \)
B. it erect the inverted image without deviation
C . it deviate a ray of light through \( 90^{\circ} \)
D. All",Physics
20204,"In \( 1- \) butene number of \( \sigma \) - bonds is:
A . 8
B. 10
c. 11
D. 12",Chemistry
5902,"element has one electron
in the outermost shell and attains
duplet configuration after accepting one more electron and attains stability.
A. Helium
B. Hydrogen
c. Lithium
D. carbon",Chemistry
77300,"The amount of heat required to increase the temperature of 1 mol of \( a \) triatomatic gas (non-linear) at constant volume is \( n \) times the amount of heat
required for 1 mol of monatomic gas. The value of \( n \) will be
A . 1
в. 1.3
c. 2
D. 2.5",Chemistry
36706,"Which of the following statement is true
for the complex, \( \left[\boldsymbol{C o}\left(\boldsymbol{N} \boldsymbol{H}_{3}\right)_{4} \boldsymbol{B r}_{2}\right] \boldsymbol{N} \boldsymbol{O}_{2} ? \)
A. It shows ionisation, linkages and geometrical isomerism
B. It does not show optical isomerism because its cis and trans forms each have at least one plane of symmetry.
c. Its ionisation isomers cannot be differentiated by silver nitrate solution
D. (A) and
(B) both",Chemistry
4448,"Assertion: Dark periods play a more important part in flowering than light
period.

Reason: Flowering occurs in short-day plant if the dark period is interrupted by light break.
A. If both the assertion and reason are true and the reason is a correct explanation of the assertion
B. If both the assertion and reason are true but the reason is not a correct explanation of the assertion
c. If the assertion is true but the reaon is false
D. If both the assertion and reason are false
E. If the assertion is false but reason is true",Biology
86629,"\( a, b, c, d, e \) are in \( A . P . \) Prove the
following results \( \boldsymbol{a}-\boldsymbol{2} \boldsymbol{b}+\boldsymbol{c}=\mathbf{0} \)",Maths
71690,"The value of \( \sqrt[3]{-512} \times \sqrt[3]{8} \) is \( \ldots \)
A . -16
B. 4
\( c \cdot-5 \)
\( D \cdot-4 \)",Maths
82934,"If \( P=\left(\frac{-3}{4}\right)^{3}, Q=\left(\frac{-2}{5}\right)^{2}, R= \)
\( (0.3)^{2}, S=(-1.2)^{2} \) which of the
following is true?
A. \( P>Q>R>S \)
в. \( S>P>Q>R \)
c. \( S>Q>R>P \)
\( \mathbf{D} \cdot S>R>P>Q \)",Maths
16067,"f \( a, b, c \) are in A.P then \( a\left(\frac{1}{b}+\frac{1}{c}\right), b\left(\frac{1}{c}+\frac{1}{a}\right), c\left(\frac{1}{a}+\frac{1}{b}\right) \)
are in
A. \( A . P . \)
в. G.P.
c . \( H . P \)
D. A.G.P",Maths
81506,"Which one of the following pairs of molecules will have a permanent dipole moments for both members?
A \( \cdot N O_{2} \) and \( O_{3} \)
B. \( \operatorname{SiF}_{4} \) and \( C O_{2} \)
c. \( \operatorname{SiF}_{4} \) and \( N O_{2} \)
D. \( N O_{2} \) and \( C O_{2} \)",Chemistry
12084,"If \( \cos ^{-1}\left(\frac{1}{x}\right)=\theta \) then \( \tan \theta= \)
A \( \frac{1}{\sqrt{x^{2}-1}} \)
B. \( \sqrt{x^{2}+1} \)
c. \( \sqrt{1-x^{2}} \)
D. \( \sqrt{x^{2}-1} \)",Maths
120307,"Function \( f(x)=\frac{x}{1+x} \) defined from
\( [0, \infty) \rightarrow[0, \infty), f(x) \) is:
A. one-one and onto
B. one-one but not onto
c. not one- one but onto
D. neither one one nor onto",Maths
115479,"Which of the following energy source is most costly?
A. Thermal Energy
B. Hydel Energy
c. Solar Energy
D. Fossil Energy",Physics
5376,"f \( x^{2}+y^{2}=2 \) and \( y^{11}+A . y^{-3}=0 \) then
\( A \) is",Maths
106835,"If \( 2 x^{2}+x y-3 y^{2}+x+a y-10= \)
\( (2 x+3 y+b)(x-y-2), \) the value of a
and b are
A. 11 and 5
B. 1 and -5
c. -1 and -5
D. -11 and 5",Maths
27559,"The probability that a person will get an electric contract is \( \frac{2}{5} \) and the probability that he will not get plumbing contract is \( \frac{4}{7} . \) If the probability of getting at least one contract is \( \frac{2}{3}, \) what is the probability that he will get both?",Maths
50772,"The IUPAC name of the compound is:
A. 3-chloro-3-phenyl-1-propene
B. 3-benzyl-3-chloro-1-propene
c. 3-phenyl-3-chloro-1-propane
D. 3-chloro propene benzen",Chemistry
110320,"The primary winding of a transformer
has 500 turns whereas its secondary has 5000 turns. The primary is connected to an ac supply of \( 20 \vee, 50 \mathrm{Hz} \) What will be the output of the secondary?
A \( .200 \vee, 50 \) Н \( z \)
в. \( 100 \vee, 50 \) Н \( z \)
c. \( 200 \vee, 500 \) Н \( z \)
D. 250 V, 50 нz",Physics
15920,"State True or False.
IUPAC representation of atomic number
108 is \( \boldsymbol{U} \boldsymbol{n} \boldsymbol{o} \)
A. True
B. False",Chemistry
32574,"Hydrogen bond energy (per mole) is about:
A . 10 kcal
B. 10 Joules
c. 10 ergs
D. 10 ev",Chemistry
40973,"A voltmeter of a very high resistance is joined in the circuit as shown in figure.
The voltage shown by this voltmeter will
be
\( A \cdot 5 V \)
B. \( 6 V \)
c. \( 2.5 V \)
D. \( 3 V \)",Physics
11857,"Which one of the following statement is
not correct?
During protein synthesis,
A. UAA codon codes for lysine.
B. UGG codon codes for tryptophan.
c. cysteine is coded by UGU and UGC codons.
D. Tyrosine is coded by UAU and UAC",Biology
4157,"n the given figure, If \( M L \| B C \) and
\( N L \| D C, \) then \( \frac{A M}{A B}=\frac{A N}{A D} \)
4. True
3. Falss",Maths
12223,"What is the percent of composition of the compound that forms when \( 222.7 g \)
of N combines compleletly with \( 77.4 g \) of
O?
A. \( 70 \%, 30 \% \)
B. \( 80 \%, 20 \% \)
c. \( 74.2 \%, 25.8 \% \)
D. \( 72.2 \%, 27.8 \% \)",Chemistry
63595,"\( Z S M-5 \) converts:
A. alcohol to petrol
B. benzene to toluene
c. toluene to benzene
D. heptane to toluene",Chemistry
95495,"The line joining the points \( \left(x_{1}, y_{1}\right) \) and
\( \left(x_{2}, y_{2}\right) \) subtends a right angle
This question has multiple correct options
\( \mathbf{A} \cdot \) at the point (1,-1) if \( x_{1} x_{2}+y_{1} y_{2}+2=x_{1}-y_{1}+x_{2}- \)
\( y_{2} \)
B. at the point (-1,1) if \( x_{1} x_{2}+y_{1} y_{2}+2=y_{1}-x_{1}+y_{2}- \)
\( x_{2} \)
C \( . \) at the point (1,1) if \( x_{1} x_{2}+y_{1} y_{2}+2=x_{1}+y_{1}+x_{2}+ \)
\( y_{2} \)
D. at the point (-1,-1) if \( x_{1} x_{2}+y_{1} y_{2}+2=x_{1}+y_{1}+ \)
\( x_{2}+y_{2} \)",Maths
50792,"Identify the incorrect statement.
A. Key is a taxonomic aid for identification of specimens
B. Herbarium houses dried, pressed and preserved plant specimens
C. Botanical gardens have collection of living plants for reference
D. A museum has collection of photographs of plants and animals",Biology
94232,"Which one of the following reagents can not be used to oxidise primary alcohols to aldehydes?
\( \mathbf{A} \cdot C r O_{3} \) in anhydrous medium
B. \( K M n O_{4} \) in acidic medium
c. Pyridinium chlorochromate
D. Heat in presence of Cu at 573 k",Chemistry
54632,"Of dia, para and ferromagnetism, the universal property of all substance is
A. diamagnetism
B. paramagnetism
c. ferromagnetism
D. all of the above",Physics
21694,"In the figure, the center of the circle is \( A \)
and ABCDEF is a regular hexagon
of side \( 6 \mathrm{cm} \)
Find :
: (i) Area of segment BPF
(ii) Area of shaded portion",Maths
112836,"Write the equations involved in the
manufacture of nitric acid by Ostwald's
process by maintaining reaction conditions",Chemistry
53517,"A certain series resonant circuit has a
bandwidth of \( 2 k H z . \) If the existing coil
is replaced with one having a higher value of \( Q, \) the bandwidth will
A. Increase
B. Remain the same
c. Decrease
D. Be less selective",Physics
66027,"Hydrazine is not:
A . a reducing agent
B. an oxidising agent
\( c . \) an acid
D. a base",Chemistry
71128,"What is the current I for the circuit
shown in the figure?
\( A \cdot 3 A \)
в. \( 1 A \)
\( c .-5 h \)
D. \( 5 A \)",Physics
105376,"A projectile is fired with the a speed \( u \)
at an angle \( \theta \) above the horizontal field. The coefficient of restitution be tween
the projectile and filed is e. Find the position from the starting point when the projectile will land at its second
collision
A \( \cdot \frac{e^{2} u^{2} \sin 2 \theta}{g} \)
B. \( \frac{\left(1+e^{2}\right) u^{2} \sin 2 \theta}{g} \)
\( ^{\mathbf{C}} \cdot \frac{\left(1+e^{2}\right) u^{2} \sin \theta \cos \theta}{g} \)
D. \( \frac{(1+e) u^{2} \sin 2 \theta}{g} \)",Physics
32736,"\( f(x)=\left|\begin{array}{ccc}x & \cos x & e^{x^{2}} \\ \sin x & x^{2} & \sec x \\ \tan x & 1 & 2\end{array}\right| . \) Find
\( \boldsymbol{f}(\mathbf{0}) ? \)
\( \mathbf{A} \cdot \mathbf{0} \)
\( B \)
\( c .-r \)
D. \( 2 \pi \)",Maths
79879,"State whether given statement is True
or False

When a point object is at the principal focus of a convex lens, it forms a parallel beam of light after refraction.
A. True
B. False",Physics
